,Rank,Name,Gender,Age,Finish,Pace,Strava Activity,athlet_url,race_url,Watch,Shoes,Distance
2514,2514,Norman Williams III,M,35-44,3:46:55,5:23/km,BOSTON GODDAMN MARATHON 2016,/athletes/9570728,/activities/733321196,,—,42.69
2515,2515,Kin Hing Alan Lo,M,,3:46:56,5:23/km,Morning Run,/athletes/14240059,/activities/549561726,Garmin Forerunner 220,—,42.52
2516,2516,J Hebert,F,35-44,3:47:00,5:23/km,Morning Run,/athletes/14347852,/activities/549442276,Strava iPhone App,—,43.01
2517,2517,Barb Berndt,F,45-54,3:47:00,5:23/km,Boston Marathon,/athletes/26296863,/activities/1334402471,Garmin Forerunner 610,—,42.83
2518,2518,Danic Audet,M,45-54,3:47:01,5:23/km,Course à pied matinale,/athletes/3686225,/activities/549788254,Garmin Forerunner 410,"New Balance 1500v1(1,151.3 km)",42.51
2519,2519,Jocelin Shalom,F,25-34,3:47:01,5:23/km,Boston Marathon!!!!,/athletes/14355920,/activities/550116502,Garmin Forerunner 620,—,42.66
2520,2520,Kristin Rodeno,F,,3:47:03,5:23/km,Morning Run,/athletes/14195168,/activities/555629170,Garmin Forerunner 220,—,42.57
2521,2521,Jeff Allen,M,55-64,3:47:04,5:23/km,Boston Marathon - Man that was rough!,/athletes/7879878,/activities/549569822,Garmin Forerunner 405,HOKA ONE ONE Constant(736.1 km),42.43
2522,2522,Riya S.,F,,3:47:05,5:23/km,2016 Boston Marathon,/athletes/8587945,/activities/549674807,Strava iPhone App,—,42.77
2523,2523,Robert Young,M,,3:47:05,5:23/km,Lunch Run,/athletes/13169596,/activities/567801589,GPX,—,42.64
2524,2524,Victoria R.,F,45-54,3:47:07,5:23/km,2016 Boston marathon,/athletes/3169365,/activities/549523310,Garmin Forerunner 910XT,ASICS DS Trainer 20(499.0 km),42.47
2525,2525,Max Rohleder,M,45-54,3:47:09,5:23/km,4/18/2016 Boston marathon,/athletes/5749938,/activities/549599308,Garmin Forerunner 620,New Balance MR10(769.0 km),42.42
2526,2526,Heather B.,F,35-44,3:47:12,5:23/km,Blowing up at Bostom,/athletes/6915005,/activities/549586009,Garmin Forerunner 220,Nike Zoom Elite 8(753.8 km),42.55
2527,2527,Tony Grimes,M,,3:47:13,5:23/km,Morning Run,/athletes/12530102,/activities/561363427,Garmin Forerunner 220,—,42.57
2528,2528,Katie C.,F,25-34,3:47:16,5:23/km,BM,/athletes/9132221,/activities/549447198,Strava iPhone App,—,42.54
2529,2529,Lora E.,F,25-34,3:47:19,5:23/km,Boston Marathon,/athletes/6191299,/activities/549503992,Garmin Forerunner 225,Brooks Pureflow(756.9 km),42.51
2530,2530,Sabrina B.,F,25-34,3:47:21,5:23/km,Afternoon Run,/athletes/11437914,/activities/552871353,Suunto Ambit,—,42.75
2531,2531,Doug Pham,,,3:47:22,5:23/km,Morning Run,/athletes/3908418,/activities/550713699,Garmin Forerunner 910XT,—,42.72
2532,2532,John Dean,M,35-44,3:47:23,5:23/km,Boston Marathon,/athletes/3699649,/activities/549458470,Garmin fēnix 3,—,42.68
2533,2533,Chris Puscasiu,,,3:47:23,5:23/km,Morning Run,/athletes/7005860,/activities/553060161,Garmin Forerunner 910XT,—,42.64
2534,2534,Will Elmquist,M,45-54,3:47:24,5:23/km,Boston Marathon - crashed and burned,/athletes/5062875,/activities/549496995,Suunto Ambit,Merrell Bare Access Ultra(498.5 km),42.62
2535,2535,Bettina B.,F,45-54,3:47:24,5:23/km,Boston Marathon 2016,/athletes/3370990,/activities/550879873,Garmin Forerunner 610,"Brooks Launch(1,036.0 km)",42.76
2536,2536,Dan Schramm,M,45-54,3:47:26,5:23/km,Morning Run,/athletes/9007599,/activities/549417826,Strava iPhone App,—,42.84
2537,2537,Jennifer H.,F,35-44,3:47:26,5:23/km,Boston Marathon. Oy. That was hard.,/athletes/11812189,/activities/549430028,Garmin Forerunner 920XT,—,42.44
2538,2538,Steve N.,M,45-54,3:47:27,5:23/km,Morning Run,/athletes/699861,/activities/551274533,Garmin Forerunner 920XT,"HOKA ONE ONE Clifton(4,649.8 km)",42.5
2539,2539,Eliot E.,M,,3:47:28,5:23/km,Boston ate me up. And time to get my hip ...,/athletes/6517718,/activities/549457155,Garmin Forerunner 920XT,—,42.37
2540,2540,Dave Nash,M,45-54,3:47:28,5:23/km,Morning Run,/athletes/9282393,/activities/556810547,Garmin Forerunner 305,—,42.45
2541,2541,Rob B.,M,,3:47:30,5:23/km,Boston Marathon (official time 3:47:30),/athletes/7873367,/activities/550146862,Garmin Forerunner 620,"HOKA ONE ONE ATR Challenger(1,046.0 km)",42.49
2542,2542,Denise C.,F,25-34,3:47:30,5:23/km,Lunch Run,/athletes/15133894,/activities/575203337,Garmin Forerunner 25,—,42.65
2543,2543,Andreas Bacher,M,,3:47:36,5:24/km,Morgenlauf,/athletes/12603885,/activities/566997225,Polar V800,"adidas SNova Sequence Boost 7(2,696.3 km)",42.62
2544,2544,Mark Donaldson,M,55-64,3:47:37,5:24/km,Boston world record longest taper,/athletes/1867649,/activities/555796519,Suunto Ambit2,—,42.59
